Label,Product Name,Brand,Price,Product Link,Skin Type,Skin Concerns,Image URL,Gender,Age
face-moisturisers,bio winter green spot correcting anti-acne sustainable cream 15g,biotique,₹ 117,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-winter-green-spot-correcting-anti-acne-sustainable-cream-15g/1661474/buy,oily,"acne, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661474/2021/2/10/0d9e2c3b-ee61-4f58-bda2-9642a62107b01612953788265BiotiqueBioWinterGreenSpotCorrectingAnti-AcneSustainableCrea1.jpg",unisex,13+
face-moisturisers,black cellular restorative balancing night face creme 120 g,bioayurveda,₹ 100,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-black-cellular-restorative-balancing-night-face-creme-120-g/15722406/buy,all,"wrinkles, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15722406/2021/10/4/b4f62190-9ae0-42bf-aa1a-cee2014355561633335352465BIOAYURVEDA1.jpg",unisex,13+
face-moisturisers,skin naturals bb cream 30 g,garnier,₹ 140,https://www.myntra.com/face-moisturisers/garnier/garnier-skin-naturals-bb-cream-30-g/630316/buy,normal,whiteheads,"https://assets.myntassets.com/h_720,q_90,w_540/v1/image/style/properties/630316/Garnier-Skin-Naturals-Beauty-Benefit-Cream_1_f23e680aafdad8c8e8d0b28397b33fb3.jpg",unisex,13+
face-moisturisers,paris unisex skin perfect age 40+ anti-aging plus whitening sustainable cream 50g,loreal,₹ 360,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-unisex-skin-perfect-age-40-anti-aging-plus-whitening-sustainable-cream-50g/625428/buy,all,"whiteheads, wrinkles","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/625428/2021/8/11/a25e47f9-ee92-413c-b154-fad53fad630f1628670577904-LOreal-Paris-Unisex-Skin-Perfect-Age-40-Anti-Aging-Plus-Whit-1.jpg",unisex,40+
face-moisturisers,total effects 7 in one night cream- 50 g,olay,₹ 629,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,normal,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13509846/2021/8/11/b67377aa-386a-41e3-b1a7-7e3889d7eb531628659416371OlayTotalEffects7InOneNightCream-50g1.jpg",unisex,13+
face-moisturisers,total effects 7 in one night cream- 50 g,olay,₹ 629,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,normal,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13509846/2021/8/11/b67377aa-386a-41e3-b1a7-7e3889d7eb531628659416371OlayTotalEffects7InOneNightCream-50g1.jpg",unisex,13+
face-moisturisers,e-luminence deep moisturising sustainable creme 50ml,plum,₹ 488,https://www.myntra.com/face-moisturisers/plum/plum-e-luminence-deep-moisturising-sustainable-creme-50ml/1705380/buy,combination,whiteheads,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1705380/2021/9/25/1e8b08aa-7b8a-4944-8794-92de324e9e071632536565426PlumE-luminenceDeepMoisturisingSustainableCreme50ml1.jpg",unisex,13+
face-moisturisers,sustainable whiteglow whitening brightening nourishing night creme 60g,lotus herbals,₹ 276,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable--whiteglow-whitening--brightening-nourishing-night-creme-60g/95942/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/95942/2020/10/9/27953c8c-5796-4fe7-902e-45f69165c4d11602267125887LotusHerbalsSustainableWomenWhiteglowWhiteningBrighteningNou1.jpg",unisex,13+
face-moisturisers,paris white perfect whitening + even tone spf 17 pa++ day cream 50ml,loreal,₹ 357,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-spf-17-pa-day-cream--50ml/236321/buy,normal,"whiteheads, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/236321/2021/8/11/91de6a3c-3818-4722-9612-da80d36f09f11628659393007LOrealParisWhitePerfectWhiteningEvenToneSPF17PADayCream50ml1.jpg",unisex,13+
face-moisturisers,anti-ageing pomegranate extract face oil 30 ml,swiss beauty,₹ 254,https://www.myntra.com/face-moisturisers/swiss-beauty/swiss-beauty-anti-ageing-pomegranate-extract-face-oil-30-ml/15580364/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15580364/2021/10/20/732f4276-a18e-4bd1-a228-2e3df1ace6b31634726637388-SWISS-BEAUTY-Unisex-Face-Moisturisers-9101634726637217-1.jpg",unisex,13+
face-moisturisers,oil-free combination skin moisturizer 118ml,neutrogena,₹ 405,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free-combination-skin-moisturizer-118ml/6967599/buy,combination,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6967599/2021/8/11/99e77e9d-4e13-4009-bd6b-b3060f4876a21628671473584NeutrogenaOil-FreeCombinationSkinMoisturizer118ml1.jpg",unisex,13+
face-moisturisers,rapid wrinkle repair spf 30 day cream 29 ml,neutrogena,₹ 1250,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-spf-30-day-cream-29-ml/2427949/buy,normal,"wrinkles, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2427949/2021/8/11/81184720-2648-4256-8f07-47ee58665d7a1628659243438NeutrogenaRapidWrinkleRepairSPF30DayCream29ml1.jpg",unisex,13+
face-moisturisers,mens green tea superlight moisturizer,phy,₹ 425,https://www.myntra.com/face-moisturisers/phy/phy-mens-green-tea-superlight-moisturizer/15018466/buy,oily,"acne, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15018466/2021/9/2/68525957-e9cd-49d6-a5f6-cf0ee086769b1630554938685-Phy-Mens-Green-Tea-Superlight-Moisturizer-2601630554938328-1.jpg",unisex,13+
face-moisturisers,wrinkle lift anti-ageing cream 40g,garnier,₹ 206,https://www.myntra.com/face-moisturisers/garnier/garnier-wrinkle-lift-anti-ageing-cream-40g/7085392/buy,normal,"whiteheads, wrinkles","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7085392/2019/1/8/0960ba91-e6f5-41a9-84ba-4a319d9a58791546929830629-Garnier-Wrinkle-Lift-Anti-Ageing-Cream-40-g-7251546929829750-1.jpg",unisex,13+
face-moisturisers,sustainable rejuvenating brightening ayurvedic night cream 25g,kama ayurveda,₹ 1425,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating--brightening-ayurvedic-night-cream-25g/10231653/buy,normal,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10231653/2021/8/11/6e612c10-53ff-4b8d-a7a1-c27b1d780f5c1628659137963KAMAAYURVEDASustainableRejuvenatingBrighteningAyurvedicNight1.jpg",unisex,13+
face-moisturisers,women morning nectar flawless skin cream 175 g,biotique,₹ 133,https://www.myntra.com/face-moisturisers/biotique/biotique-women-morning-nectar-flawless-skin-cream-175-g/11699568/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11699568/2021/3/9/1d2132de-37d0-4bf6-a76b-a517e02bd4901615263749599-Biotique-Women-Morning-Nectar-Flawless-Skin-Cream-175-g-7561-1.jpg",women,13+
face-moisturisers,paris revitalift anti-wrinkle & firming day spf 23 pa++ sustainable day cream 50ml,loreal,₹ 507,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-anti-wrinkle--firming-day--spf-23-pa-sustainable-day-cream-50ml/135674/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/135674/2021/8/11/8d9e35d5-db37-4dc7-b4f0-dde1aee9e6d61628671346171LOrealParisRevitaliftAnti-WrinkleFirmingDaySPF23PASustainabl1.jpg",unisex,13+
face-moisturisers,vitamin c glow boosting sustainable moisturiser for dull & tired skin 50 ml,the body shop,₹ 1780,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-c-glow-boosting-sustainable-moisturiser-for-dull--tired-skin-50-ml/1677311/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1677311/2019/8/3/5c344644-65cd-446a-8778-155aacd2b6c11564831906257-THE-BODY-SHOP-Unisex-Moisture-Day-Cream-Vitamin-C-6621564831-1.jpg",unisex,13+
face-moisturisers,green tea range oil free moisturizer 50 ml,plum,₹ 413,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-oil-free-moisturizer-50-ml/14047514/buy,oily,acne,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14047514/2021/5/17/e94dfb52-32a5-4e36-b152-f5c51208ab041621241451866-Plum-Green-Tea-Oil-Free-Moisturizer-50-ml-5251621241451347-1.jpg",unisex,13+
face-moisturisers,sustainable women youthrx gineplex anti-ageing transforming creme 50g,lotus herbals,₹ 451,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-women-youthrx-gineplex-anti-ageing-transforming-creme-50g/11618792/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11618792/2020/10/10/b090d5ac-3644-4c98-b600-6e0db78aaa2f1602273580062LotusHerbalsSustainableWomenYouthRXGineplexAnti-AgeingTransf1.jpg",women,13+
face-moisturisers,vitamin c face cream with spf 20 50g,mamaearth,₹ 539,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-vitamin-c-face-cream-with-spf-20-50g/12087896/buy,normal,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12087896/2020/10/9/260b64ff-b2e6-4b4c-9063-bde005e6a3041602267008638MamaearthVitaminCCreamForFaceWithVitaminCSPF201.jpg",unisex,13+
face-moisturisers,spotlight illuminating lotion 30 ml,colorbar,₹ 636,https://www.myntra.com/face-moisturisers/colorbar/colorbar-spotlight-illuminating-lotion-30-ml/376706/buy,all,"wrinkles, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/376706/2021/8/11/d09ce193-e371-4897-923f-7d21ef179fb01628659385730ColorbarSpotlightIlluminatingLotion30ml1.jpg",unisex,13+
face-moisturisers,green tea seed cream 50ml,innisfree,₹ 1575,https://www.myntra.com/face-moisturisers/innisfree/innisfree-green-tea-seed-cream-50ml/7206920/buy,all,acne,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7206920/2018/11/20/9d18b046-bf42-429b-9da9-1b6ef86014121542698122802-Innisfree-Unisex-Green-Tea-Seed-Cream-50-ml-8351542698122052-1.jpg",unisex,13+
face-moisturisers,unisex 10% azelaic acid booster cream- 30 ml,azani active care,₹ 349,https://www.myntra.com/face-moisturisers/azani-active-care/azani-active-care-unisex-10-azelaic-acid-booster-cream--30-ml/15322506/buy,all,"acne, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15322506/2021/8/31/304e85c8-cbfd-4626-a569-0565939b28581630414734754FaceMoisturisers1.jpg",unisex,13+
face-moisturisers,tejasvi brightening emulsion anti-aging face cream 30g,forest essentials,₹ 2375,https://www.myntra.com/face-moisturisers/forest-essentials/forest-essentials-tejasvi-brightening-emulsion-anti-aging-face-cream-30g/12443338/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12443338/2021/8/11/86517ea8-82d2-40d7-9bea-f9d60ed27f0b1628671235077ForestEssentialsTejasviBrighteningEmulsion30g1.jpg",unisex,13+
face-moisturisers,sustainable rejuvenating and brightening ayurvedic night cream 50g,kama ayurveda,₹ 2595,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating-and-brightening-ayurvedic-night-cream-50g/10611248/buy,normal,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10611248/2021/8/11/513f7a2b-b5db-4bd9-b80e-3f45f9ee9f491628672193398-KAMA-AYURVEDA-Sustainable-Rejuvenating-and-Brightening-Ayurv-1.jpg",unisex,13+
face-moisturisers,paris skin perfect age 30+ anti-fine lines + whitening spf 21 cream 50g,loreal,₹ 210,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-skin-perfect-age-30-anti-fine-lines--whitening--spf-21-cream--50g/625426/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/625426/2021/8/11/8b27ccbc-03cb-410a-bfbe-48bb1464dc421628671523689LOrealParisSkinPerfectAge30Anti-FineLinesWhiteningSPF21Cream1.jpg",unisex,30+
face-moisturisers,even better clinical radical dark spot corrector + interrupter-10 ml,clinique,₹ 1350,https://www.myntra.com/face-moisturisers/clinique/-clinique-even-better-clinical-radical-dark-spot-corrector--interrupter-10-ml/14649834/buy,all,"acne, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14649834/2021/7/1/021562d0-dc3e-4b8d-a43a-f6c5175b49d31625121711989-Even-Better-Clinical-Radical-Dark-Spot-Corrector--Interrupte-1.jpg",unisex,13+
face-moisturisers,10% azelaic acid booster gel 30ml,paulas choice,₹ 2916,https://www.myntra.com/face-moisturisers/paulas-choice/paulas-choice-10-azelaic-acid-booster-gel-30ml/13183164/buy,all,"redness, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13183164/2021/8/11/ecc9e832-f0a9-4af0-bdaf-ef91c9e672fe1628671354793PaulasChoice10AzelaicAcidBoosterGel30ml1.jpg",unisex,13+
face-moisturisers,sustainable papayablem papaya-n-saffron anti-blemish creme 50g,lotus herbals,₹ 295,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-papayablem-papaya-n-saffron-anti-blemish-creme-50g/533100/buy,normal,acne,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/533100/2020/10/10/53a59a13-ccfd-4641-a058-4e54d104edc41602269563773LotusHerbalsSustainablePAPAYABLEMPapaya-N-SaffronAnti-Blemis1.jpg",unisex,13+
face-moisturisers,sustainable unisex eladi hydrating ayurvedic face cream,kama ayurveda,₹ 1645,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-unisex-eladi-hydrating-ayurvedic-face-cream/10611242/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10611242/2021/8/11/02063280-230e-40aa-9675-7b8e8b11ac2e1628669560286-KAMA-AYURVEDA-Sustainable-Unisex-Eladi-Hydrating-Ayurvedic-F-1.jpg",unisex,13+
face-moisturisers,women retinol night cream with retinol & bakuchi 50 g,mamaearth,₹ 629,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-women-retinol-night-cream-with-retinol--bakuchi-50-g/13845548/buy,normal,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/3/10/4221e5e1-96db-4060-a22e-40c5f7ca80861615374300750-1.jpg",women,13+
face-moisturisers,paula's choice resist barrier repair moisturizer with retinol 50ml,paulas choice,₹ 2700,https://www.myntra.com/face-moisturisers/paulas-choice/paulas-choice-resist-barrier-repair-moisturizer-with-retinol-50ml/13861362/buy,normal,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13861362/2021/8/11/19063e86-ad43-42b9-b5ca-a40064951b521628671413079PaulasChoiceRESISTBarrierRepairMoisturizerwithRetinol50ML1.jpg",unisex,13+
face-moisturisers,botanicals bio saffron dew youthful nourishing day sustainable cream 175 g,biotique,₹ 283,https://www.myntra.com/face-moisturisers/biotique/biotique-botanicals-bio-saffron-dew-youthful-nourishing-day-sustainable-cream-175-g/1661457/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661457/2021/8/11/3baba1d1-df3d-46fb-9b1c-8066a1ff1e1b1628671685507BiotiqueBotanicalsBioSaffronDewYouthfulNourishingDaySustaina1.jpg",unisex,13+
face-moisturisers,roots of strength firming shaping day sustainable cream 50 ml,the body shop,₹ 1865,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-roots-of-strength-firming-shaping-day-sustainable-cream-50-ml/4046733/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4046733/2021/2/11/e06a5dc6-caac-4fa0-8e90-a8dcaddb2bb61613030656391TheBodyShopUnisexRootsofStrengthFirmingShapingDaySustainable1.jpg",unisex,13+
face-moisturisers,black pearl radiance anti-pigmentation face cream 60g,bioayurveda,₹ 300,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-black-pearl-radiance-anti-pigmentation-face-cream-60g/15444640/buy,all,redness,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15444640/2021/9/13/31923066-bd87-4fb3-bfaa-4c4f47531a001631533045747FaceMoisturisers1.jpg",unisex,13+
face-moisturisers,total effects 7 in 1 anti aging skin cream,olay,₹ 849,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-1-anti-aging-skin-cream/10444688/buy,normal,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10444688/2020/1/29/950aab41-9b1c-4e7a-94a6-8f3f5868fa051580279136529-Olay-Women-Face-Moisturisers-4821580279136058-1.jpg",unisex,13+
face-moisturisers,advanced anti-age bxl cellular bio saffron nourishing cream 50gm,biotique,₹ 589,https://www.myntra.com/face-moisturisers/biotique/biotique-advanced-anti-age-bxl-cellular-bio-saffron-nourishing-cream-50gm/1661460/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661460/2021/8/11/acd4319f-3353-4917-b6f3-3fb0390f2eee1628671408994BiotiqueAdvancedAnti-AgeBXLCellularBioSaffronNourishingCream1.jpg",unisex,13+
face-moisturisers,women total effects 7 in one day cream spf15 12g,olay,₹ 239,https://www.myntra.com/face-moisturisers/olay/olay-women-total-effects-7-in-one-day-cream-spf15-12g/11318468/buy,all,"wrinkles, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11318468/2021/8/11/2c408e8a-ee7e-45af-a2b9-b5c1843c2d381628671431472OlayWomenTotalEffects7InOneDayCreamSPF1512g1.jpg",women,13+
face-moisturisers,vitamin c face cream 50 ml,wow skin science,₹ 521,https://www.myntra.com/face-moisturisers/wow-skin-science/wow-skin-science-vitamin-c-face-cream-50-ml/12689494/buy,all,"whiteheads, acne","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/8/dac9c1f4-7708-47e8-baf2-3868a2794a531602108731539-1.jpg",unisex,13+
face-moisturisers,women regenerist micro-sculpting anti-ageing face moisturiser 10g,olay,₹ 319,https://www.myntra.com/face-moisturisers/olay/olay-women-regenerist-micro-sculpting-anti-ageing-face-moisturiser-10g/11318446/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11318446/2021/8/11/7141eb69-c1c5-4e4d-8dc1-bbf15ddf0bde1628671502854OlayWomenRegeneristMicro-SculptingAnti-AgeingFaceMoisturiser1.jpg",women,13+
face-moisturisers,paris skin perfect age 20+ anti-imperfections + whitening sustainable cream 50g,loreal,₹ 189,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-skin-perfect-age-20-anti-imperfections--whitening-sustainable-cream-50g/625425/buy,all,"whiteheads, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/625425/2021/8/11/1ee1011e-cb79-479c-9bae-39cdeb1af7b81628671664259LOrealParisSkinPerfectAge20Anti-ImperfectionsWhiteningSustai1.jpg",unisex,20+
face-moisturisers,regenerist advanced anti-ageing revitalising hydration cream 50 g,olay,₹ 979,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-revitalising-hydration-cream-50-g/10443722/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10443722/2021/8/11/df02f69f-c490-4303-b762-c28ac92209f31628659420763OlayRegeneristAdvancedAnti-AgeingRevitalisingHydrationCream51.jpg",unisex,13+
face-moisturisers,skin radiance cream for hyperpigmentation & dark spots 30g,reequil,₹ 416,https://www.myntra.com/face-moisturisers/reequil/reequil-skin-radiance-cream-for-hyperpigmentation--dark-spots-30g/13512554/buy,oily,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13512554/2021/8/11/78ccdbfe-9e19-4615-8bca-9cb3602fd76a1628671233141ReequilSkinRadianceCreamForHyperpigmentationDarkSpots30g1.jpg",unisex,13+
face-moisturisers,paris set of white perfect night cream & white perfect milky foam face wash,loreal,₹ 548,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-set-of-white-perfect-night-cream--white-perfect-milky-foam-face-wash/7762953/buy,all,"whiteheads, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7762953/2018/11/29/18f02c4a-32d9-477f-af6c-ea9324b846a81543494080058-LOreal-Paris-White-Perfect-Night-Cream--LOreal-Paris-White-P-1.jpg",unisex,13+
face-moisturisers,anti aging night cream 50 ml,wow skin science,₹ 531,https://www.myntra.com/face-moisturisers/wow-skin-science/wow-skin-science-anti-aging-night-cream-50-ml/12689502/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/7/863b93ab-21f2-4820-9f79-97b03b9872381602028968025-1.jpg",unisex,13+
